ds,CO,NO2,O3,SO2,PM10,PM2.5
01-01-2017 12:00,1.2,0.059,0.002,0.004,73,57
01-01-2017 01:00,1.2,0.058,0.002,0.004,71,59
01-01-2017 02:00,1.2,0.056,0.002,0.004,70,59
01-01-2017 03:00,1.2,0.056,0.002,0.004,70,58
01-01-2017 04:00,1.2,0.051,0.002,0.003,69,61
01-01-2017 05:00,1.1,0.046,0.002,0.003,70,61
01-01-2017 06:00,1.1,0.049,0.002,0.003,66,57
01-01-2017 07:00,1,0.045,0.002,0.003,71,60
01-01-2017 08:00,1.1,0.047,0.002,0.004,72,60
01-01-2017 09:00,1.1,0.047,0.002,0.003,74,63
01-01-2017 10:00,1,0.045,0.004,0.004,76,68
01-01-2017 11:00,1,0.048,0.005,0.004,83,74
01-01-2017 12:00,1,0.054,0.005,0.004,93,79
01-01-2017 13:00,1,0.05,0.007,0.005,94,79
01-01-2017 14:00,0.9,0.055,0.008,0.006,93,78
01-01-2017 15:00,0.8,0.056,0.008,0.006,87,69
01-01-2017 16:00,0.9,0.063,0.004,0.006,87,69
01-01-2017 17:00,0.9,0.063,0.002,0.005,91,72
01-01-2017 18:00,1,0.063,0.002,0.005,91,69
01-01-2017 19:00,1,0.062,0.002,0.005,92,70
01-01-2017 20:00,0.9,0.056,0.002,0.004,94,74
01-01-2017 21:00,0.9,0.058,0.002,0.004,93,74
01-01-2017 22:00,1,0.058,0.002,0.004,89,73
01-01-2017 23:00,1,0.057,0.002,0.004,91,72
01-02-2017 00:00,1.1,0.057,0.002,0.004,93,72
01-02-2017 01:00,1,0.057,0.002,0.004,92,74
01-02-2017 02:00,1,0.055,0.002,0.004,90,73
01-02-2017 03:00,1,0.053,0.002,0.004,92,74
01-02-2017 04:00,1.1,0.052,0.002,0.004,92,76
01-02-2017 05:00,1,0.05,0.002,0.004,92,77
01-02-2017 06:00,1,0.05,0.002,0.004,92,76
01-02-2017 07:00,1.2,0.054,0.002,0.003,88,74
01-02-2017 08:00,1.4,0.06,0.002,0.004,88,71
01-02-2017 09:00,1.5,0.066,0.002,0.005,88,69
01-02-2017 10:00,1.1,0.059,0.004,0.005,85,63
01-02-2017 11:00,0.8,0.055,0.008,0.005,73,55
01-02-2017 12:00,0.7,0.037,0.031,0.006,80,59
01-02-2017 13:00,0.8,0.037,0.034,0.007,104,80
01-02-2017 14:00,0.9,0.035,0.036,0.006,117,90
01-02-2017 15:00,1,0.038,0.033,0.006,130,98
01-02-2017 16:00,1,0.039,0.034,0.006,140,107
01-02-2017 17:00,1,0.039,0.032,0.006,148,113
01-02-2017 18:00,1,0.04,0.029,0.005,150,116
