Year,Station Number,City,Location,Type,Valid Hour,10th Percentile,30th Percentile,50th Percentile,70th Percentile,90th Percentile,99 Percentile,Mean,1-Hour Maximum,24-Hour  Maximum
2022,12008,Windsor Downtown,467 University Ave. W.,A,8743,2,4,6,9,15,28,7.83,55,26.2
2021,12008,Windsor Downtown,467 University Ave. W.,A,8730,2,5,7,10,16,29,8.34,54,22.9
2020,12008,Windsor Downtown,467 University Ave. W.,A,8722,2,4,6,8,13,23,7.05,42,28.5
2019,12008,Windsor Downtown,467 University Ave. W.,A,8488,3,4,6,9,15,28,7.8,48,26.6
2018,12008,Windsor Downtown,467 University Ave. W.,A,8495,3,5,7,10,16,29,8.5,55,28.5
2017,12008,Windsor Downtown,467 University Ave. W.,A,8705,3,5,6,9,15,26,7.8,44,30
2016,12008,Windsor Downtown,467 University Ave. W.,A,8750,2,4,7,10,15,26,8.1,64,21
2015,12008,Windsor Downtown,467 University Ave. W.,A,8738,3,5,7,11,18,33,9.3,64,37
2014,12008,Windsor Downtown,467 University Ave. W.,A,8624,4,6,9,12,19,31,10.1,71,29
2013,12008,Windsor Downtown,467 University Ave. W.,A,8419,4,6,8,11,17,29,9.2,43,29
2012,12008,Windsor Downtown,467 University Ave. W.,A,8652,1,4,6,9,15,24,7.4,81,22
2011,12008,Windsor Downtown,467 University Ave. W.,A,8546,1,4,6,9,16,29,7.6,42,30
2010,12008,Windsor Downtown,467 University Ave. W.,A,8635,1,3,6,10,18,29,7.7,73,24
2009,12008,Windsor Downtown,467 University Ave. W.,A,8620,1,4,6,9,15,27,7.2,71,27
2008,12008,Windsor Downtown,467 University Ave. W.,A,8583,2,4,7,10,17,33,8.3,67,34
2007,12008,Windsor Downtown,467 University Ave. W.,A,8659,1,4,7,11,22,39,9.5,64,36
2006,12008,Windsor Downtown,467 University Ave. W.,A,8632,1,4,6,10,18,33,8.2,53,37
2005,12008,Windsor Downtown,467 University Ave. W.,A,8665,1,4,8,12,24,44,10.4,72,48
2004,12008,Windsor Downtown,467 University Ave. W.,A,8597,0,3,6,11,19,37,8.6,54,39
2003,12008,Windsor Downtown,467 University Ave. W.,A,8480,0,3,6,10,19,42,8.5,64,43
2022,12016,Windsor West,College Ave./South St.,A,8705,3,6,8,10,16,29,8.95,47,31.1
2021,12016,Windsor West,College Ave./South St.,A,8527,3,6,8,12,18,32,9.57,53,27.5
2020,12016,Windsor West,College Ave./South St.,A,8375,2,5,8,11,16,27,8.77,68,31.9
2019,12016,Windsor West,College Ave./South St.,A,8620,3,5,8,11,17,32,9.1,54,38
